41099 106427 190 876 77424 8493 0 3186 6487 3183 27934 24321 7042 1457 48293 2923 586 7566 6088 403617 1421 704 1067 41392 0
55134 56848 0 174 211427 23160 191 6163 1009 5660 26066 4308 2072 4058 12869 3495 1453 3888 27783 23135 229 0 0 3852 0
1707 1185 0 0 4271 0 0 0 0 40 0 220 0 0 747 0 117 290 666 0 810 0 0 0 0
4765384 136618 5732 15704 360853 56056 159 53139 5786 37245 10028 30058 43034 67819 116007 4356 17739 104311 26051 74822 4586 175 3414 20602 902
8317 6163 576 307 14737 52339 0 3210 523 822 993 576 1176 654 2931 203 453 167 4382 1670 340 0 92 0 372
24466 13719 58 299 4559 4042 0 2312 590 183 2183 523 15554 2035 3175 2159 7587 164 143 335 49 2541 632 582 603
2521 4741 0 942 4521 379 0 12238 88 7058 1021 0 316 289 806 0 0 141 1493 257 0 0 0 129 0
6490 3885 0 4228 18634 3289 0 702 875 1859 1579 1333 4950 180 134 2703 0 1083 153 434 836 91 1139 2955 0
74445 41508 403 15786 74958 48712 116 3786 22023 447795 14057 8067 14775 2337 6125 1575 6488 1845 3864 4259 0 607 7056 1236 583
19266 18142 5584 4503 174179 5260 0 2176 7087 13655 692 20487 30110 2479 660 542 302 93776 23136 4825 8504 612 896 11484 0
47347 49903 29777 13821 376397 42347 1207 6366 936 27331 7617 23957 14768 25822 19352 2565 1381 65043 13424 55834 8168 52 23460 11429 0
139214 39280 3930 7553 140827 7224 0 9895 6585 6338 9298 46606 263230 5286 8155 1350 1351 309419 57007 24593 5208 3884 1989 6898 405
18573 10450 132 5721 85238 26570 0 6904 166 7365 90 44949 1543 1865 401 382 1290 553 8062 786 432 0 4241 2291 0
765 3486 1713 0 24712 6092 0 16379 0 286 43 94 2426 154 74 251 254 1391 2715 1134 304 0 0 327 0
29667 136032 269 5470 41419 28875 0 3175 39248 24889 8568 4091 5503 1419 5797 38078 797 778 2043 2331 174 0 1363 83679 181
397854 223256 2711 18620 246721 61432 26200 15991 31252 260859 4578 114810 59475 1117556 219002 12899 99074 33855 15267 4966 406 272 40484 32166 1621
3057 2013 370 0 45904 1985 0 4846 408 1369 0 1185 275 1241 583 0 0 8373 11430 284 41 235 0 656 0
588968 197999 0 2510 72349 8561 0 154 10295 11332 86 75135 20008 171839 4208 12651 1313 9343 1119 7212 52 53 4342 1948 0
420007 372784 3564 56886 3073251 76130 0 102594 37323 286325 34113 32403 23893 16382 42058 2442402 3345 14851 32566 6200 3323 479 12882 7214 306
80 161 0 190 670 0 0 0 0 254 0 3723 360 0 129 0 0 178 0 8664 46 0 0 0 120
11398 10348 52 16449 11337 2540 0 1739 379 11216 425 135893 13100 277 1992 530 1105 1055 638 4913 86 0 1445 548 0
244 0 0 0 5963 0 0 0 0 563 0 416 49 0 0 0 0 0 0 0 0 0 0 384 0
201641 983990 653 4663 128764 35566 292 4250 230885 19021 11916 10708 16745 24530 25242 1915 4581 7507 1852 18967 109 1764 14821 1761 0
483 44 0 0 7620 41 0 0 47 3122 0 576 95 0 615 0 0 417 0 41 0 0 0 2401 0
1788 1773 423 0 177 0 0 2338 0 1944 0 0 40 0 0 0 11622 64 0 0 0 746 0 120 0
1388 0 177 0 216 0 0 1115 0 0 0 0 0 0 0 0 0 204 45 0 0 0 0 0 0
