139214 39280 3930 7553 140827 7224 0 9895 6585 6338 9298 46606 263230 5286 8155 1350 1351 309419 57007 24593 5208 3884 1989 6898 405 149866 491781 60831 268843 135128 45659 48825 35751 97382 23666 199861 9693 8699 1218 16671 7179 49854 24673 199861 5327 19262 390362 22837 3274 9362
18573 10450 132 5721 85238 26570 0 6904 166 7365 90 44949 1543 1865 401 382 1290 553 8062 786 432 0 4241 2291 0 65783 55275 69907 146465 14009 11401 41277 6665 21231 1154 12061 265 7762 47 1885 9383 4459 5298 12061 2100 4552 225767 4582 29627 7090
765 3486 1713 0 24712 6092 0 16379 0 286 43 94 2426 154 74 251 254 1391 2715 1134 304 0 0 327 0 11721 7519 8434 33168 9438 1021 8720 1500 439 874 2673 264 1316 311 156 4232 1863 115 2673 730 752 1306 1256 6543 120
29667 136032 269 5470 41419 28875 0 3175 39248 24889 8568 4091 5503 1419 5797 38078 797 778 2043 2331 174 0 1363 83679 181 23803 34668 10599 30566 22755 15099 2926 3394 25799 6269 21452 6900 34835 418 16557 45497 11244 6303 21452 784 7450 42346 3310 2435 6828
397854 223256 2711 18620 246721 61432 26200 15991 31252 260859 4578 114810 59475 1117556 219002 12899 99074 33855 15267 4966 406 272 40484 32166 1621 831894 441723 167149 2094314 736049 152232 105593 140995 136916 28569 22270 74602 81187 4138 11203 16563 149888 55523 22270 28544 11290 37589 46608 15344 86903
3057 2013 370 0 45904 1985 0 4846 408 1369 0 1185 275 1241 583 0 0 8373 11430 284 41 235 0 656 0 6525 6880 9554 27631 20439 1635 23044 65190 1693 6038 6913 0 384 612 11331 0 61948 10269 6913 2912 49 1479 40620 0 11827
588968 197999 0 2510 72349 8561 0 154 10295 11332 86 75135 20008 171839 4208 12651 1313 9343 1119 7212 52 53 4342 1948 0 126146 380964 132874 579379 224057 46414 8022 23012 81561 23901 124221 121016 8186 282 6669 916 22549 12264 124221 3929 7893 11103 167694 2190 2842
420007 372784 3564 56886 3073251 76130 0 102594 37323 286325 34113 32403 23893 16382 42058 2442402 3345 14851 32566 6200 3323 479 12882 7214 306 903628 365233 185326 366142 240477 50000 72895 465177 724097 582852 233211 21917 168777 205756 40522 96725 40502 293176 233211 99578 83816 33194 1413 33948 26700
80 161 0 190 670 0 0 0 0 254 0 3723 360 0 129 0 0 178 0 8664 46 0 0 0 120 1965 1272 790 7016 319 654 0 0 58 0 629 440 0 0 0 0 0 0 629 0 373 1863 0 0 0
11398 10348 52 16449 11337 2540 0 1739 379 11216 425 135893 13100 277 1992 530 1105 1055 638 4913 86 0 1445 548 0 33145 10340 24394 59126 6171 3216 21114 3202 8700 1409 6983 180 7466 295 919 2038 3491 889 6983 80 68078 1466 136 4438 1656
244 0 0 0 5963 0 0 0 0 563 0 416 49 0 0 0 0 0 0 0 0 0 0 384 0 2270 3999 891 14531 692 0 234 156 1187 0 0 0 0 0 0 6623 299 178 0 0 0 6426 502 0 0
201641 983990 653 4663 128764 35566 292 4250 230885 19021 11916 10708 16745 24530 25242 1915 4581 7507 1852 18967 109 1764 14821 1761 0 82968 86324 51621 87527 15213 24054 18619 3782 77774 12531 130042 6579 25509 13932 48897 36709 11272 25184 130042 6697 55002 170035 6750 13963 28317
483 44 0 0 7620 41 0 0 47 3122 0 576 95 0 615 0 0 417 0 41 0 0 0 2401 0 7587 2920 2831 40023 1317 0 1043 648 53 0 0 82 630 0 0 508 1747 166 0 0 0 1534 58 0 88
1788 1773 423 0 177 0 0 2338 0 1944 0 0 40 0 0 0 11622 64 0 0 0 746 0 120 0 1644 2609 1380 5670 1227 1732 101 151 0 0 0 0 0 504 0 0 0 1782 0 0 0 7612 0 0 0
1388 0 177 0 216 0 0 1115 0 0 0 0 0 0 0 0 0 204 45 0 0 0 0 0 0 189 1428 221 650 222 63 283 0 0 123 95 220 0 0 0 0 0 0 95 0 0 13448 0 0 176
6422 8803 3745 48 7617 1571 0 33969 3314 266 2409 51 912 46311 693 244 0 4944 2183 120 352 746 0 363 0 11510 53261 11079 52457 16930 6068 3579 2066 1634 495 2985 568 1009 52324 1536 223 2965 4879 2985 172 8949 11246 1555 1848 978
567 3053 418 0 235 0 0 14987 0 53 0 231 0 0 0 0 63 1036 560 0 0 0 0 0 0 749 912 1257 851 1428 0 1432 689 1125 0 244 0 0 1546 177 800 0 66 244 231 232 2172 0 0 0
8509 34228 2455 286 1948 512 0 9619 49 619 192 6345 0 700 0 0 0 1048 148 0 676 76 447 0 0 1794 21062 1498 9103 1866 306 419 19252 3178 257 255 680 162 2197 504 2056 128 40 255 489 190 6895 0 211 0
5616 5175 0 0 11206 2978 42 623 1331 380 31303 2144 1247 1635 192 488 821 1312 526 2126 0 0 1982 992 0 32010 35854 20848 30844 8106 2217 1214 940 3306 935 2407 1272 2369 0 434 15200 15763 2017 2407 321 4447 682 1609 23790 666
